Iteration,Aileron,AileronLoss,Elevator,ElevatorLoss,Rudder,RudderLoss,DistanceToTarget,PlanePositionX,PlanePositionY,PlanePositionZ,TargetPositionX,TargetPositionY,TargetPositionZ,PlaneVelocityX,PlaneVelocityY,PlaneVelocityZ,PlaneForwardX,PlaneForwardY,PlaneForwardZ,PlaneUpX,PlaneUpY,PlaneUpZ,PlaneRightX,PlaneRightY,PlaneRightZ,LossAngleChange
45,0.000,-24.2258,0.500,-24.2258,1.000,-24.2258,1655.01,0.04,999.72,140.59,1000.00,2000.00,1000.00,-0.56,-5.11,185.85,-0.34,-0.44,0.83,-0.26,0.90,0.36,0.90,0.09,0.42,1.4841604
46,0.804,-24.0316,1.000,-24.0316,1.000,-24.0316,1653.47,0.03,999.63,143.69,1000.00,2000.00,1000.00,-0.59,-5.56,185.86,-0.35,-0.45,0.82,-0.29,0.88,0.37,0.89,0.11,0.44,1.4851900
47,0.513,-23.8352,0.500,-23.8352,0.974,-23.8352,1651.93,0.02,999.53,146.79,1000.00,2000.00,1000.00,-0.62,-6.03,185.86,-0.36,-0.47,0.80,-0.31,0.87,0.37,0.88,0.12,0.46,1.4861431
48,0.494,-23.6510,0.450,-23.6509,1.000,-23.6509,1650.41,0.01,999.42,149.88,1000.00,2000.00,1000.00,-0.63,-6.52,185.84,-0.37,-0.49,0.79,-0.34,0.86,0.38,0.87,0.13,0.48,1.4806221
49,0.000,-23.4940,0.160,-23.4940,1.000,-23.4940,1648.89,0.00,999.30,152.98,1000.00,2000.00,1000.00,-0.64,-7.02,185.81,-0.37,-0.51,0.77,-0.36,0.85,0.39,0.85,0.14,0.50,1.4649419
50,0.831,-23.3082,1.000,-23.3082,1.000,-23.3082,1647.38,-0.01,999.17,156.08,1000.00,2000.00,1000.00,-0.64,-7.53,185.76,-0.38,-0.53,0.76,-0.39,0.84,0.39,0.84,0.15,0.52,1.4813293
51,0.000,-23.1388,0.019,-23.1388,1.000,-23.1388,1645.89,-0.02,999.04,159.17,1000.00,2000.00,1000.00,-0.63,-8.04,185.70,-0.38,-0.55,0.74,-0.41,0.82,0.39,0.83,0.16,0.54,1.4727448
52,0.000,-22.9657,0.038,-22.9657,1.000,-22.9657,1644.40,-0.03,998.90,162.27,1000.00,2000.00,1000.00,-0.61,-8.57,185.63,-0.38,-0.57,0.73,-0.44,0.81,0.40,0.81,0.17,0.56,1.4748064
53,0.750,-22.7877,1.000,-22.7877,1.000,-22.7877,1642.93,-0.04,998.75,165.36,1000.00,2000.00,1000.00,-0.55,-9.11,185.57,-0.39,-0.59,0.71,-0.46,0.79,0.40,0.80,0.18,0.58,1.4774244
54,0.475,-22.6022,0.208,-22.6022,1.000,-22.6022,1641.46,-0.05,998.59,168.45,1000.00,2000.00,1000.00,-0.48,-9.65,185.50,-0.39,-0.60,0.70,-0.49,0.77,0.40,0.78,0.19,0.59,1.4812121
55,0.476,-22.4313,0.000,-22.4313,1.000,-22.4313,1640.01,-0.05,998.42,171.54,1000.00,2000.00,1000.00,-0.40,-10.19,185.42,-0.39,-0.62,0.68,-0.51,0.76,0.40,0.77,0.20,0.61,1.4735799
56,0.472,-22.2629,0.000,-22.2628,1.000,-22.2628,1638.56,-0.06,998.24,174.63,1000.00,2000.00,1000.00,-0.30,-10.75,185.33,-0.38,-0.64,0.67,-0.54,0.74,0.40,0.75,0.20,0.63,1.4721800
57,0.472,-22.0963,0.000,-22.0962,1.000,-22.0962,1637.13,-0.06,998.05,177.72,1000.00,2000.00,1000.00,-0.18,-11.31,185.23,-0.38,-0.66,0.65,-0.56,0.72,0.40,0.73,0.21,0.65,1.4711034
58,0.471,-21.9320,0.000,-21.9320,1.000,-21.9320,1635.70,-0.06,997.85,180.80,1000.00,2000.00,1000.00,-0.05,-11.88,185.12,-0.38,-0.67,0.64,-0.58,0.71,0.40,0.72,0.22,0.66,1.4696311
59,0.000,-21.7825,0.000,-21.7825,1.000,-21.7825,1634.28,-0.06,997.64,183.89,1000.00,2000.00,1000.00,0.10,-12.45,185.01,-0.37,-0.69,0.62,-0.61,0.69,0.40,0.70,0.23,0.67,1.4597987
60,0.000,-21.6257,0.008,-21.6257,1.000,-21.6257,1632.88,-0.06,997.43,186.97,1000.00,2000.00,1000.00,0.25,-13.02,184.88,-0.37,-0.70,0.61,-0.63,0.67,0.40,0.69,0.23,0.69,1.4648600
61,0.000,-21.4716,0.039,-21.4716,1.000,-21.4716,1631.48,-0.05,997.20,190.05,1000.00,2000.00,1000.00,0.43,-13.58,184.75,-0.36,-0.72,0.59,-0.65,0.65,0.40,0.67,0.24,0.70,1.4631121
62,0.000,-21.3201,0.000,-21.3201,1.000,-21.3201,1630.10,-0.04,996.96,193.12,1000.00,2000.00,1000.00,0.61,-14.15,184.62,-0.36,-0.73,0.58,-0.67,0.63,0.39,0.66,0.25,0.71,1.4612182
63,0.018,-21.1725,0.717,-21.1725,0.976,-21.1725,1628.72,-0.03,996.72,196.20,1000.00,2000.00,1000.00,0.80,-14.72,184.48,-0.35,-0.75,0.57,-0.68,0.62,0.39,0.64,0.25,0.73,1.4583420
64,0.058,-21.0262,0.689,-21.0262,1.000,-21.0262,1627.35,-0.01,996.46,199.27,1000.00,2000.00,1000.00,1.00,-15.27,184.35,-0.34,-0.76,0.55,-0.70,0.60,0.39,0.63,0.26,0.74,1.4573182
65,0.080,-20.8778,0.767,-20.8779,0.266,-20.8779,1625.99,0.01,996.20,202.34,1000.00,2000.00,1000.00,1.21,-15.82,184.21,-0.33,-0.77,0.54,-0.72,0.58,0.39,0.61,0.26,0.75,1.4588927
66,0.071,-20.7405,0.551,-20.7405,1.000,-20.7404,1624.64,0.04,995.93,205.41,1000.00,2000.00,1000.00,1.42,-16.37,184.07,-0.32,-0.78,0.53,-0.73,0.56,0.38,0.60,0.26,0.75,1.4502362
67,0.036,-20.6018,0.521,-20.6017,1.000,-20.6017,1623.30,0.06,995.64,208.47,1000.00,2000.00,1000.00,1.65,-16.91,183.92,-0.31,-0.79,0.52,-0.75,0.54,0.38,0.59,0.27,0.76,1.4511822
68,0.499,-20.4515,0.000,-20.4515,0.000,-20.4514,1621.97,0.09,995.35,211.54,1000.00,2000.00,1000.00,1.89,-17.45,183.77,-0.30,-0.81,0.51,-0.76,0.53,0.38,0.58,0.27,0.77,1.4603353
69,0.094,-20.3250,0.080,-20.3250,1.000,-20.3250,1620.65,0.13,995.05,214.60,1000.00,2000.00,1000.00,2.14,-17.99,183.62,-0.29,-0.81,0.50,-0.77,0.51,0.38,0.56,0.28,0.78,1.4397625
70,0.499,-20.1858,0.000,-20.1858,1.000,-20.1858,1619.34,0.17,994.75,217.66,1000.00,2000.00,1000.00,2.40,-18.52,183.47,-0.28,-0.82,0.49,-0.78,0.49,0.38,0.55,0.28,0.78,1.4515980
71,0.104,-20.0563,0.595,-20.0562,0.385,-20.0563,1618.04,0.21,994.43,220.71,1000.00,2000.00,1000.00,2.66,-19.05,183.31,-0.27,-0.83,0.49,-0.80,0.48,0.38,0.54,0.29,0.79,1.4428160
72,0.502,-19.9218,0.512,-19.9218,0.449,-19.9218,1616.74,0.26,994.10,223.76,1000.00,2000.00,1000.00,2.94,-19.57,183.15,-0.26,-0.84,0.48,-0.80,0.46,0.38,0.54,0.29,0.79,1.4475285
73,0.087,-19.8037,0.510,-19.8038,0.948,-19.8038,1615.45,0.32,993.77,226.81,1000.00,2000.00,1000.00,3.22,-20.09,182.99,-0.24,-0.85,0.47,-0.81,0.44,0.38,0.53,0.29,0.80,1.4303875
74,0.502,-19.6722,0.511,-19.6722,1.000,-19.6722,1614.17,0.38,993.42,229.86,1000.00,2000.00,1000.00,3.51,-20.60,182.83,-0.23,-0.85,0.47,-0.82,0.43,0.38,0.52,0.30,0.80,1.4448128
75,0.493,-19.5424,0.513,-19.5424,0.447,-19.5424,1612.90,0.44,993.07,232.90,1000.00,2000.00,1000.00,3.81,-21.11,182.66,-0.22,-0.86,0.46,-0.83,0.41,0.38,0.51,0.30,0.80,1.4431729
76,0.154,-19.4211,0.511,-19.4213,0.496,-19.4213,1611.64,0.51,992.71,235.95,1000.00,2000.00,1000.00,4.12,-21.62,182.49,-0.21,-0.86,0.46,-0.84,0.40,0.38,0.51,0.30,0.81,1.4340212
77,0.465,-19.3025,0.515,-19.3021,1.000,-19.3024,1610.39,0.58,992.34,238.98,1000.00,2000.00,1000.00,4.42,-22.12,182.32,-0.20,-0.87,0.45,-0.84,0.39,0.38,0.50,0.31,0.81,1.4315258
78,0.165,-19.1785,0.511,-19.1785,0.448,-19.1785,1609.14,0.66,991.97,242.02,1000.00,2000.00,1000.00,4.74,-22.62,182.16,-0.18,-0.87,0.45,-0.85,0.37,0.38,0.50,0.31,0.81,1.4370834
79,0.091,-19.0677,0.512,-19.0676,1.000,-19.0675,1607.91,0.74,991.58,245.05,1000.00,2000.00,1000.00,5.05,-23.11,181.99,-0.17,-0.88,0.45,-0.85,0.36,0.38,0.50,0.32,0.81,1.4217092
80,0.402,-18.9410,0.513,-18.9413,0.408,-18.9409,1606.68,0.83,991.19,248.08,1000.00,2000.00,1000.00,5.37,-23.59,181.81,-0.16,-0.88,0.45,-0.86,0.35,0.38,0.49,0.32,0.81,1.4398874
81,0.501,-18.8308,0.513,-18.8312,1.000,-18.8308,1605.46,0.93,990.79,251.11,1000.00,2000.00,1000.00,5.70,-24.07,181.64,-0.15,-0.88,0.44,-0.86,0.34,0.38,0.49,0.33,0.81,1.4205694
82,0.192,-18.7092,0.512,-18.7092,0.385,-18.7092,1604.24,1.03,990.38,254.14,1000.00,2000.00,1000.00,6.03,-24.55,181.47,-0.14,-0.89,0.44,-0.86,0.33,0.39,0.49,0.33,0.81,1.4345638
83,0.405,-18.5942,0.514,-18.5944,0.405,-18.5942,1603.04,1.14,989.96,257.16,1000.00,2000.00,1000.00,6.36,-25.02,181.29,-0.13,-0.89,0.44,-0.87,0.32,0.39,0.49,0.34,0.81,1.4268588
