Iteration,Aileron,AileronLoss,Elevator,ElevatorLoss,Rudder,RudderLoss,DistanceToTarget,PlanePositionX,PlanePositionY,PlanePositionZ,TargetPositionX,TargetPositionY,TargetPositionZ,PlaneVelocityX,PlaneVelocityY,PlaneVelocityZ,PlaneForwardX,PlaneForwardY,PlaneForwardZ,PlaneUpX,PlaneUpY,PlaneUpZ,PlaneRightX,PlaneRightY,PlaneRightZ,LossAngleChange
61,0.485,-31.3910,0.577,-31.3825,0.000,-31.3892,1626.57,1.22,1005.53,188.10,1000.00,2000.00,1000.00,5.00,17.14,178.80,0.60,0.32,0.73,0.05,0.90,-0.43,0.80,-0.30,-0.53,-1.1755048
62,0.485,-31.4059,0.576,-31.3980,0.000,-31.3942,1624.85,1.31,1005.82,191.08,1000.00,2000.00,1000.00,5.16,17.65,178.52,0.61,0.32,0.72,0.05,0.90,-0.43,0.79,-0.30,-0.54,-0.2901502
63,0.485,-31.4253,0.575,-31.4249,0.000,-31.4249,1623.13,1.40,1006.12,194.05,1000.00,2000.00,1000.00,5.33,18.15,178.25,0.62,0.32,0.72,0.05,0.90,-0.44,0.78,-0.30,-0.54,-1.0735432
64,0.395,-31.4205,0.105,-31.4212,0.002,-31.4188,1621.42,1.49,1006.43,197.01,1000.00,2000.00,1000.00,5.50,18.63,177.98,0.63,0.32,0.71,0.04,0.90,-0.44,0.78,-0.31,-0.55,0.3514466
65,0.333,-31.4289,0.000,-31.4301,0.000,-31.4251,1619.70,1.58,1006.75,199.98,1000.00,2000.00,1000.00,5.67,19.11,177.71,0.64,0.32,0.70,0.04,0.90,-0.44,0.77,-0.31,-0.56,-0.3628979
66,0.505,-31.4647,0.571,-31.4655,0.000,-31.4652,1617.98,1.68,1007.08,202.93,1000.00,2000.00,1000.00,5.83,19.59,177.44,0.64,0.32,0.70,0.04,0.90,-0.44,0.76,-0.31,-0.56,-1.1766555
67,0.316,-31.4576,0.000,-31.4579,0.000,-31.4584,1616.26,1.78,1007.41,205.89,1000.00,2000.00,1000.00,6.00,20.06,177.17,0.65,0.32,0.69,0.04,0.89,-0.45,0.76,-0.32,-0.57,0.3854045
68,0.790,-31.4742,0.620,-31.4746,0.000,-31.4743,1614.54,1.88,1007.76,208.83,1000.00,2000.00,1000.00,6.17,20.54,176.89,0.65,0.32,0.69,0.04,0.89,-0.45,0.75,-0.32,-0.57,-0.7624491
69,0.371,-31.4951,0.222,-31.5048,0.000,-31.4875,1612.82,1.99,1008.11,211.78,1000.00,2000.00,1000.00,6.34,21.01,176.61,0.66,0.32,0.68,0.04,0.89,-0.45,0.75,-0.32,-0.58,-0.6698015
70,0.409,-31.5022,0.389,-31.5158,0.000,-31.5162,1611.09,2.10,1008.46,214.72,1000.00,2000.00,1000.00,6.51,21.48,176.33,0.66,0.32,0.68,0.04,0.89,-0.45,0.75,-0.33,-0.58,-1.0438049
71,0.512,-31.5277,0.507,-31.5284,0.123,-31.5282,1609.37,2.21,1008.83,217.65,1000.00,2000.00,1000.00,6.68,21.94,176.05,0.67,0.32,0.67,0.04,0.89,-0.45,0.74,-0.33,-0.58,-0.6263213
72,0.516,-31.5426,0.494,-31.5424,0.555,-31.5421,1607.65,2.32,1009.20,220.58,1000.00,2000.00,1000.00,6.85,22.41,175.76,0.67,0.32,0.67,0.04,0.89,-0.46,0.74,-0.33,-0.58,-0.6926559
73,0.520,-31.5570,0.491,-31.5572,0.501,-31.5568,1605.93,2.44,1009.58,223.51,1000.00,2000.00,1000.00,7.02,22.87,175.48,0.67,0.32,0.67,0.04,0.89,-0.46,0.74,-0.33,-0.59,-0.7232291
74,0.517,-31.5734,0.466,-31.5735,0.006,-31.5733,1604.20,2.56,1009.97,226.43,1000.00,2000.00,1000.00,7.19,23.33,175.19,0.68,0.32,0.66,0.04,0.89,-0.46,0.74,-0.34,-0.59,-0.7814266
75,0.513,-31.5708,0.475,-31.5853,0.419,-31.5851,1602.48,2.68,1010.37,229.34,1000.00,2000.00,1000.00,7.37,23.79,174.91,0.68,0.32,0.66,0.04,0.89,-0.46,0.73,-0.34,-0.59,-0.6162580
